1,Code 1G FD30 Fire Door,code-1g-fd30-fire-door,Code 1G FD30 Fire Door - Ply - GWPP - H2040xW926xD44mm,Code 1G FD30 Fire Door,Code 1G FD30 Fire Door,Code 1G FD30 Fire Door,Code 1G FD30 Fire Door,202.1,0,code-1g-fd30-fire-door.PNG,0,0,7,active,0,2019-09-01 15:44:21.375 +00:00,2019-09-01 15:44:21.375 +00:00
2,OAK 4-PANEL 35MM,oak-4-panel-35mm,OAK 4-PANEL 35MM,OAK 4-PANEL 35MM,OAK 4-PANEL 35MM,OAK 4-PANEL 35MM,OAK 4-PANEL 35MM,98,0,oak-4-panel-35mm.JPG,0,0,8,active,0,2019-09-01 15:44:21.376 +00:00,2019-09-01 15:44:21.376 +00:00
3,White Painted Pine Top Hung Roof Window,white-painted-pine-top-hung-roof-window,White Painted Pine Top Hung Roof Window,White Painted Pine Top Hung Roof Window,White Painted Pine Top Hung Roof Window,White Painted Pine Top Hung Roof Window,White Painted Pine Top Hung Roof Window,342.67,0,white-painted-pine-top-hung-roof-window.JPG,0,0,9,active,0,2019-09-01 15:44:21.377 +00:00,2019-09-01 15:44:21.377 +00:00
4,Code 25G FD30 Fire Door,code-25g-fd30-fire-door,Code 25G FD30 Fire Door,Code 25G FD30 Fire Door,Code 25G FD30 Fire Door,Code 25G FD30 Fire Door,Code 25G FD30 Fire Door,206.11,0,code-25g-fd30-fire-door.JPG,0,0,12,active,0,2019-09-01 15:44:21.377 +00:00,2019-09-01 15:44:21.377 +00:00
5,Cotswold Oak Internal Cottage Door Unfinished,cotswold-oak-internal-cottage-door-unfinished,Cotswold Oak Internal Cottage Door Unfinished,Cotswold Oak Internal Cottage Door Unfinished,Cotswold Oak Internal Cottage Door Unfinished,Cotswold Oak Internal Cottage Door Unfinished,Cotswold Oak Internal Cottage Door Unfinished,66.98,0,cotswold-oak-internal-cottage-door-unfinished.JPG,0,0,7,active,0,2019-09-01 15:44:21.377 +00:00,2019-09-01 15:44:21.377 +00:00
6,Arezzo Round Matt Black Modern Basin Bottle Trap,arezzo-round-matt-black-modern-basin-bottle-trap,Arezzo Round Matt Black Modern Basin Bottle Trap,Arezzo Round Matt Black Modern Basin Bottle Trap,Arezzo Round Matt Black Modern Basin Bottle Trap,Arezzo Round Matt Black Modern Basin Bottle Trap,Arezzo Round Matt Black Modern Basin Bottle Trap,49.95,0,arezzo-round-matt-black.jpg,0,0,8,active,0,2019-09-01 15:44:21.378 +00:00,2019-09-01 15:44:21.378 +00:00
7,Ring Seal Soil Stack Complete Kit,ring-seal-soil-stack-complete-kit,Ring Seal Soil Stack Complete Kit,Ring Seal Soil Stack Complete Kit,Ring Seal Soil Stack Complete Kit,Ring Seal Soil Stack Complete Kit,Ring Seal Soil Stack Complete Kit,93.84,0,ring-seal-soil-stack-complete-kit.JPG,0,0,7,active,0,2019-09-01 15:44:21.378 +00:00,2019-09-01 15:44:21.378 +00:00
8,Rectangular Ducting,rectangular-ducting,Rectangular Ducting 180mm X 90mm - Flat Channel 1 Mtr,Rectangular Ducting,Rectangular Ducting,Rectangular Ducting,Rectangular Ducting,17.02,0,rectangular-ducting.JPG,0,0,9,active,0,2019-09-01 15:44:21.378 +00:00,2019-09-01 15:44:21.378 +00:00
9,RS PRO Galvanised Steel Round Tube,rs-pro-galvanised-steel-round-tube,"RS PRO Galvanised Steel Round Tube, 1000mm Length, Dia. 48.8mm",RS PRO Galvanised Steel Round Tube,RS PRO Galvanised Steel Round Tube,RS PRO Galvanised Steel Round Tube,RS PRO Galvanised Steel Round Tube,15.2,0,rs-pro-galvanised-steel-round-tube.JPG,0,0,7,active,0,2019-09-01 15:44:21.379 +00:00,2019-09-01 15:44:21.379 +00:00
10,Round Modern Chrome Basin Bottle Trap,round-modern-chrome-basin-bottle-trap,Round Modern Chrome Basin Bottle Trap + Tube to Floor Pipe Set,Round Modern Chrome Basin Bottle Trap,Round Modern Chrome Basin Bottle Trap,Round Modern Chrome Basin Bottle Trap,Round Modern Chrome Basin Bottle Trap,59.95,0,round-modern-chrome-basin-bottle-trap.JPG,0,0,7,active,0,2019-09-01 15:44:21.379 +00:00,2019-09-01 15:44:21.379 +00:00
11,Intumescent pipe collar,intumescent-pipe-collar,Intumescent pipe collar,Intumescent pipe collar,Intumescent pipe collar,Intumescent pipe collar,Intumescent pipe collar,10.6,0,intumescent-pipe-collar.JPG,0,0,8,active,0,2019-09-01 15:44:21.379 +00:00,2019-09-01 15:44:21.379 +00:00
12,"RS PRO PVC Flexible Tubing, transparent",rs-pro-pvc-flexible-tubing-transparent,"RS PRO PVC Flexible Tubing, transparent, 11.5mm External Diameter, 25m Long Reinforced, 28mm Bend Radius","RS PRO PVC Flexible Tubing, transparent","RS PRO PVC Flexible Tubing, transparent","RS PRO PVC Flexible Tubing, transparent","RS PRO PVC Flexible Tubing, transparent",26.81,0,rs-pro-pvc-flexible-tubing-transparent.JPG,0,0,9,active,0,2019-09-01 15:44:21.379 +00:00,2019-09-01 15:44:21.379 +00:00
